"id","addtime","chexing","changshang","minprice","maxprice","tjtime","mxiaoliang","dyxlpm","zcsfe","zcspm","zwxcpm"
"128","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2024-10","34185","7","33.16","1","1"
"129","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2024-09","28918","8","31.77","1","1"
"130","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2024-08","26461","9","32.86","1","1"
"131","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2024-07","15765","21","26.5","1","1"
"132","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2024-06","10187","46","21.66","2","1"
"133","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2024-05","16441","18","27.41","1","1"
"134","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2024-04","12445","20","23.93","1","1"
"135","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2024-03","16046","17","24.18","1","1"
"136","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2024-02","12649","10","23.55","1","1"
"137","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2024-01","15520","31","21.39","1","2"
"138","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2023-12","25015","16","26.83","2","1"
"139","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2023-11","22985","12","31.47","2","1"
"140","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2023-10","20337","19","28.26","2","1"
"141","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2023-09","16146","29","23.53","2","1"
"142","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2023-08","15844","25","27.33","1","1"
"143","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2023-07","15499","22","24.13","1","1"
"144","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2023-06","13763","35","26.64","1","1"
"145","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2023-05","20346","11","32.15","1","1"
"146","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2023-04","18086","14","31.07","1","1"
"147","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2023-03","23159","8","41.03","1","1"
"148","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2023-02","30267","2","46.2","1","1"
"149","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2023-01","16416","7","34.99","1","1"
"150","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2022-12","73009","1","51.48","1","1"
"151","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2022-11","68567","2","53.14","1","1"
"152","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2022-10","47868","2","44.96","1","1"
"153","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2022-09","44711","3","42.51","1","1"
"154","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2022-08","49119","3","50.97","1","1"
"155","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2022-07","56605","1","53.16","1","1"
"156","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2022-06","46249","2","52.88","1","1"
"157","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2022-05","34037","1","47.61","1","1"
"158","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2022-04","27181","1","61.77","1","1"
"159","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2022-03","47563","1","46.2","1","1"
"160","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2022-02","22110","9","50.66","1","1"
"161","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2022-01","37048","3","51","1","1"
"162","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2021-12","55742","1","36.88","1","1"
"163","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2021-11","45576","2","35.34","1","1"
"164","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2021-10","39128","2","33.79","1","1"
"165","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2021-09","35176","2","46.69","1","1"
"166","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2021-08","41188","1","41.17","1","1"
"167","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2021-07","26905","3","37.14","1","1"
"168","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2021-06","30100","3","48.89","1","1"
"169","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2021-05","26742","5","38.25","1","1"
"170","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2021-04","29251","3","36.69","1","1"
"171","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2021-03","39745","3","48.04","1","1"
"172","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2021-02","20167","7","49.24","1","1"
"173","2024-12-08 15:23:28","宏光MINIEV","上汽通用五菱","3.28","9.99","2021-01","36762","5","60.33","1","1"
"174","2024-12-08 15:23:29","宏光MINIEV","上汽通用五菱","3.28","9.99","2020-12","32097","8","28.44","2","1"
"175","2024-12-08 15:23:29","宏光MINIEV","上汽通用五菱","3.28","9.99","2020-11","28246","10","29.53","2","1"
"176","2024-12-08 15:23:29","宏光MINIEV","上汽通用五菱","3.28","9.99","2020-10","23762","13","28.05","2","1"
"177","2024-12-08 15:23:29","宏光MINIEV","上汽通用五菱","3.28","9.99","2020-09","20150","17","26.68","2","1"
"178","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2024-10","6061","114","16.44","3","14"
"179","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2024-09","10863","60","25.93","2","12"
"180","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2024-08","9782","57","28.23","2","10"
"181","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2024-07","6456","78","20.98","3","13"
"182","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2024-06","8858","56","26","2","11"
"183","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2024-05","7760","66","25.27","2","11"
"184","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2024-04","6493","70","23.55","2","10"
"185","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2024-03","5911","86","17.93","3","12"
"186","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2024-02","3968","93","15.87","3","14"
"187","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2024-01","7253","95","17.96","3","15"
"188","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2023-12","10600","65","23.47","2","13"
"189","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2023-11","10270","64","25.9","2","11"
"190","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2023-10","10021","64","26.88","2","11"
"191","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2023-09","9152","69","26.29","2","10"
"192","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2023-08","6045","99","19.75","3","14"
"193","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2023-07","6852","87","23.36","3","11"
"194","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2023-06","5042","113","13.38","4","18"
"195","2024-12-08 15:23:31","红旗E-QM5","一汽红旗","16.58","23.98","2023-05","4448","115","19.32","3","15"
"196","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2023-04","4876","100","19.45","3","16"
"197","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2023-03","3136","137","10.99","4","20"
"198","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2023-02","2471","152","9.71","4","21"
"199","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2023-01","6703","56","30.36","1","7"
"200","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2022-12","5492","125","13.93","4","20"
"201","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2022-11","3032","176","12.01","4","22"
"202","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2022-10","5024","131","14.67","3","18"
"203","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2022-09","4561","148","13.82","3","20"
"204","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2022-08","4055","147","15","3","15"
"205","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2022-07","2303","221","10.34","3","25"
"206","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2022-06","2488","196","11.38","3","22"
"207","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2022-05","3173","144","12.68","3","16"
"208","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2022-04","475","280","6.97","4","21"
"209","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2022-03","110","446","0.89","7","39"
"210","2024-12-08 15:23:32","红旗E-QM5","一汽红旗","16.58","23.98","2022-02","26","456","0.12","7","39"
